tag,alg,N,mode,frequency_mhz,period_ns,lat_addsub,lat_mul,lat_fma,lat_rec,addsub_count,mul_count,mads_count,impl_strategies,impl_run_names,max_bram,schedule_time,memory_variables,num_memories,num_processing_elements,ilp_objective_mux,synth_rc,impl_wns_ns,power_w,power_dynamic_w,power_static_w,impl_slice_luts,impl_slice_luts_util_pct,impl_slice_registers,impl_slice_registers_util_pct,impl_dsps,impl_dsps_util_pct,impl_bram_tiles,impl_bram_tiles_util_pct,status,error,run_dir
addsub_N16_eqs_f100MHz_latA4_latM2_latF5_latR7_addsub6_mul6,addsub,16,eqs,100,10.0,4,2,5,7,6,6,,default,impl_1,0,492,2732,,,,FAILED,,,,,,,,,,,,,FAILED,'NoneType' object is not iterable,/local/data1/ollha42/ldlt-matrix-inverse-implementation/python/ldlt_sweep/runs/20260327_181537/addsub_N16_eqs_f100MHz_latA4_latM2_latF5_latR7_addsub6_mul6
addsub_N16_eqs_f100MHz_latA4_latM2_latF5_latR7_addsub6_mul6,addsub,16,eqs,100,10.0,4,2,5,7,6,6,,Performance_Auto_1,impl_2,0,492,2732,,,,FAILED,,,,,,,,,,,,,FAILED,'NoneType' object is not iterable,/local/data1/ollha42/ldlt-matrix-inverse-implementation/python/ldlt_sweep/runs/20260327_181537/addsub_N16_eqs_f100MHz_latA4_latM2_latF5_latR7_addsub6_mul6
addsub_N16_eqs_f100MHz_latA4_latM2_latF5_latR7_addsub6_mul6,addsub,16,eqs,100,10.0,4,2,5,7,6,6,,Performance_Explore,impl_3,0,492,2732,,,,FAILED,,,,,,,,,,,,,FAILED,'NoneType' object is not iterable,/local/data1/ollha42/ldlt-matrix-inverse-implementation/python/ldlt_sweep/runs/20260327_181537/addsub_N16_eqs_f100MHz_latA4_latM2_latF5_latR7_addsub6_mul6
addsub_N16_eqs_f100MHz_latA4_latM2_latF5_latR7_addsub6_mul6,addsub,16,eqs,100,10.0,4,2,5,7,6,6,,Performance_ExplorePostRoutePhysOpt,impl_4,0,492,2732,,,,FAILED,,,,,,,,,,,,,FAILED,'NoneType' object is not iterable,/local/data1/ollha42/ldlt-matrix-inverse-implementation/python/ldlt_sweep/runs/20260327_181537/addsub_N16_eqs_f100MHz_latA4_latM2_latF5_latR7_addsub6_mul6
addsub_N16_eqs_f100MHz_latA4_latM2_latF5_latR7_addsub6_mul6,addsub,16,eqs,100,10.0,4,2,5,7,6,6,,Performance_ExploreWithRemap,impl_5,0,492,2732,,,,FAILED,,,,,,,,,,,,,FAILED,'NoneType' object is not iterable,/local/data1/ollha42/ldlt-matrix-inverse-implementation/python/ldlt_sweep/runs/20260327_181537/addsub_N16_eqs_f100MHz_latA4_latM2_latF5_latR7_addsub6_mul6
addsub_N16_eqs_f100MHz_latA4_latM2_latF5_latR7_addsub6_mul6,addsub,16,eqs,100,10.0,4,2,5,7,6,6,,Performance_Retiming,impl_6,0,492,2732,,,,FAILED,,,,,,,,,,,,,FAILED,'NoneType' object is not iterable,/local/data1/ollha42/ldlt-matrix-inverse-implementation/python/ldlt_sweep/runs/20260327_181537/addsub_N16_eqs_f100MHz_latA4_latM2_latF5_latR7_addsub6_mul6
addsub_N16_eqs_f100MHz_latA4_latM2_latF5_latR7_addsub6_mul6,addsub,16,eqs,100,10.0,4,2,5,7,6,6,,Performance_ExtraTimingOpt,impl_7,0,492,2732,,,,FAILED,,,,,,,,,,,,,FAILED,'NoneType' object is not iterable,/local/data1/ollha42/ldlt-matrix-inverse-implementation/python/ldlt_sweep/runs/20260327_181537/addsub_N16_eqs_f100MHz_latA4_latM2_latF5_latR7_addsub6_mul6
addsub_N16_eqs_f100MHz_latA4_latM2_latF5_latR7_addsub6_mul6,addsub,16,eqs,100,10.0,4,2,5,7,6,6,,Performance_RefinePlacement,impl_8,0,492,2732,,,,FAILED,,,,,,,,,,,,,FAILED,'NoneType' object is not iterable,/local/data1/ollha42/ldlt-matrix-inverse-implementation/python/ldlt_sweep/runs/20260327_181537/addsub_N16_eqs_f100MHz_latA4_latM2_latF5_latR7_addsub6_mul6
addsub_N16_eqs_f200MHz_latA5_latM4_latF9_latR13_addsub2_mul3,addsub,16,eqs,200,5.0,5,4,9,13,2,3,,default,impl_1,0,1076,4018,15,9,299.0,0,-0.023,0.624,0.528,0.096,10057,69.84,2438,8.47,17,25.76,0,0.0,OK,,/local/data1/ollha42/ldlt-matrix-inverse-implementation/python/ldlt_sweep/runs/20260327_181537/addsub_N16_eqs_f200MHz_latA5_latM4_latF9_latR13_addsub2_mul3
addsub_N16_eqs_f200MHz_latA5_latM4_latF9_latR13_addsub2_mul3,addsub,16,eqs,200,5.0,5,4,9,13,2,3,,Performance_Auto_1,impl_2,0,1076,4018,15,9,299.0,0,0.066,0.624,0.528,0.096,10066,69.9,2438,8.47,17,25.76,0,0.0,OK,,/local/data1/ollha42/ldlt-matrix-inverse-implementation/python/ldlt_sweep/runs/20260327_181537/addsub_N16_eqs_f200MHz_latA5_latM4_latF9_latR13_addsub2_mul3
